Name	Primary homeland	Subgroups
abkhazians	abkhazia	abazins
acehnese	aceh 	aneuk Jamee
acholi	acholil, 	
afar	afaria 	
afemai	Edo State 	
african americans	american South 	Gullah , Samana americans
afrikaners	South africa , Namibia	Boers, White Namibians, White Botswanans
afro-Bahamians	 Bahamas	Bahamian americans
afro-Barbadians	Barbados	 , Brazil,  United Kingdom, , Canada
afro-Brazilians	Brazil 	
afro-Dominicans	Dominican Republic	Spain ,  
afro-Haitians	Haiti	 Dominican Republic, France, ,  
afro-Saint Lucians	Saint Lucia	
afro-Trinbagonians	Trinidad , Tobago	
agaw	Horn of africa 	Bilen, Ximre, awi, Qemant
ahom	assam 	
aimaq	afghanistan	aimaq Hazara, Firozkohi, Jamshidi, Kipchak, Timuri, Taymani
aja	Benin, Togo	
akan	Gold Coast 	Twi , Fante, abbe, abidji, adjoukrou, ahafo, ahanta, akwamu, akyem, anyi, aowin, assin, attie, avatime, avikam, Baoule, Brong, Chakosi, Evalue, MeBato, Nzema, Sefwi, Tchaman, Wassa, abure, alladian, Ghanaians, , antiguans , Barbudans , Curacaoans
akha	Yunnan 	akeu
akhdam	Yemen	
albanians	albania, Kosovo, North Macedonia	Ghegs, Tosks , Kosovars, Cham albanians, Macedonian albanians, , Turkey, Germany, Switzerl, ,  
alur	West Nile sub-region, ituri 	
ambonese	ambon isl, 	
ambundu	angola	angolares , Curacaoans
americo-Liberians	Liberia	
amhara	amharia 	
amis	Taiwan 	
anaang	akwa ibom State 	
anglo-indians	india	
antaifasy	Farafangana 	
antaisaka	Farafangana 	
antankarana	Diana 	
antanosy	anosy 	
antemoro	Vatovavy-Fitovinany	
anuak	anuakia , Boma	
apache	apacheria 	Chiricahua, Jicarilla, Lipan, Mescalero, Salinero, Plains apache, Western apache
arabs	arabia 	Bedouins, Druze, Shirazis , Baggara), arab-Berbers , Bahrainis, Sudanese, iraqis , Jordanians, Lebanese, Kuwaitis, Omanis , Qataris, Saudis , Syrians , Emiratis, Yemenis , , Brazil, indonesia, iran, Turkey, Pakistan , Venezuela, afghanistan, ,  
argobba	Ethiopia 	
armenians	Greater armenia 	Turkish armenians , Cherkesogai, armeno-Tats, Hayhurum Karabakhis, , Russia,  , France, Georgia , Lebanon, , Germany
aromanians	Balkans 	Greece, albania, , Macedonia
assyrians	assyria 	Chaldeans, Tyari, Mandaeans, iraqis , Syrians , Rem, ,  , Sweden, , israel
atoni	West Timor , Oecusse 	amarasi
atyap	Kaduna State 	
austrians	austria	South Tyroleans, , United States, Canada, , australia
avars	avaristan 	
awadhis	awadh 	Barhai
aymara	Bolivia, Peru, Chile	Mestizos, Bolivians
azerbaijanis	azerbaijan, iranian azerbaijan 	ayrums, Bayat, Karadaghis, Qajars, Kuresunni, Qarapapaqs, Shahsevan, Terekeme, Yeraz, afshar, iranian azerbaijanis, , Georgia , Russia
Bahnar	Central Highlands 	
Bai	Dali Bai autonomous Prefecture 	
Bakossi	Bakossi Mountains	
Balanta	Guinea-Bissau, Senegal,  Gambia	
Balinese	Bali 	Bali aga
Balkars	Kabardino-Balkaria 	
Balochs	Balochistan 	askani, Bajkani, Bangulzai, Barazani, Bhurgari, Bugti, Buledi, Chandio, Darzada, Dehwar, Dodai, Dombki, Gabol, Ghazini, Jamali, Jatoi, Kalmati, Khetran, Kunara, Langhani, Lango, Lashkrani, Loharani, Lund, Marri, Mazari, Mengal, Mirali, Mugheri, Muhammad Shahi, Mullazai, Nothazai, Pitafi, Qaisrani, Rind, Sadozai, Sethwi, Shaikhzadah, Talpur, Tauki, Umrani, Yarahmadzai, Zardari, Makrani, ,  United arab Emirates  , Turkmenistan
Balti	Gilgit-Baltistan 	
Bamars	Myanmar	Taungyo, Yaw, intha, Danu, anglo-Burmese
Bambara	Mali	Haratin
Bamileke	Cameroon 	Mengaka, Ngiemboon, Ngombale, Ngomba, Ngwe, Yemba, Feefee, Ghomalae, Kwae, Ndaendae, Medumba
Bamum	West Region 	
Banda	Central african Republic, South Sudan, Democratic Republic of  Congo	Central Banda, South Banda, West Banda
Banjarese	South Kalimantan	
Bara	ibara 	
Bari	Central Equatoria , Uganda	Pojulu, Kakwa, Nyangwara, Mandari, Kuku
Bariba	Borgu 	
Bashkirs	Bashkortostan 	
Basques	Basque Country 	argentina, Chile, Colombia, Mexico, Venezuela, , Uruguay
Bassa	Bassal, 	
Batak	North Sumatra 	angkola, Karo, Mandailing, Pakpak, Simalungun, Toba, alas, Kluet, Singkil
Beja	Sudan, Egypt, Eritrea	Bishari, ababda, Hadendoa, Hedareb, amarar, Beni-amer
Belarusians	Belarus	 , Ukraine, , Russia
Belizean Creoles	Belize	
Bemba	Zambia , Katanga Province	
Bembe	Democratic Republic of  Congo, Tanzania	
Bengalis	Bengal 	Bangal, Bhadralok, Ghoti, aguri, Bagdi, Baidya, Baishya Kapali, Baishya Saha, Barujibi, Bauris, Bengali Brahmins, Chunaru, Doms, Gandhabanik, Suvarna Banik, Haris, Jalia Kaibarta, Kansabanik, Karmakar, Mahishya, Mal, Bengali Kayastha, Namasudra, Sadgop, Shunri, Yogi Nath, Bangladeshis, , Saudi arabia, United arab Emirates, Malaysia,  United Kingdom, ,  
Berbers	Maghreb 	Brabers, Chaouis, Chenouas, Ghomaras, Houara, Jerbis, Kabyle, Matmatas, Mozabite, Nafusis, Rifian, Sanhaja de Srair, Shilha, Siwi, Tuaregs, awjila, arab-Berbers , , France, Belgium, ,  Netherlands
Berom	Plateau State 	
Berta	Benishangul-Gumuz Region, South Sudan	
Betawis	Jakarta 	
Beti	Cameroon	Ewondo, Eton
Betsimisaraka	Madagascar 	
Bhils	india 	Barda, Bhagalia, Bhilala, Bhil Gametia, Bhil Garasia, Bhil Kataria, Bhil Mama, Bhil Mavchi, Dholi Bhil, Dungri Bhil, Damor, Dungri Garasia, Mewasi Bhil, Nirdhi Bhil, Rawal Bhil, Tadvi Bhil, Vasava, Bhil Meena, Chaudhri
Bhojpuris	Bhojpur 	Paswan
Bhumij	india 	
Bicolanos	Bicolandia 	Central Bikol, Sorsoganons, Catandunganons, Rinconada, albayanon
Bidayuh	Sarawak 	Kendayan, Selako, Bakatie, Sara Bakatie, Larae, Bukar Sadong, Biatah, Tringgus, Jagoi, Jangkang, Kembayan, Semandang, Ribun, Nyadue, Sanggau
Bilala	Lake Fitri 	
Bishnupriya Manipuris	Manipur , Bangladesh	
Bissa	Burkina Faso	
Blaan	Soccsksargen 	
Boa	Bas-Uele 	
Bodo	Bodol, 	Mech
Bosniaks	Bosnia , Herzegovina, Sandeak 	Serbia, Turkey, austria, Germany,  
Bouyei	Guizhou 	Giay
Bozo	Mali	
Brahuis	Balochistan 	Raisani, Jhalawan, Sarawan, Mengal , Sasoli
Bretons	Brittany 	
Bru	Savannakhet Province, Vietnam 	
Budu	Wamba Territory	
Buduma	Lake Chad 	
Buginese	South Sulawesi 	
Bulgarians	Bulgaria	Pomaks, , Turkey, Ukraine , Moldova, Romania , Serbia, Germany, Spain ,  
Burusho	Gilgit-Baltistan 	
Butonese	Buton 	
Bwa	Burkina Faso, Mali	
Catalans	Catalan Countries 	Valencians, Balearics, andorrans
Chakmas	Chittagong Hill Tracts	
Chamorro	Mariana islands 	
Chams	Champa 	
Chechens	Chechnya 	Kists
Cherokee	United States 	Cherokee Nation, Eastern Band, United Keetoowah Band
Chewa	Malawi, Zambia, Zimbabwe, Mozambique	
Chin	Chin State 	Thadou, Paite, Simte, Zou, Lamkang, Kom, Lushai, Hmar, Koireng, Mizo, aimol, Mru, Mrucha , Bawm, Biate, asho
Choctaw	United States 	
Chokwe	angola, Democratic Republic of  Congo, Zambia	
Chuanqing	Guizhou 	Tunbao
Chutiya	assam 	Deori
Chuukese	Chuuk Lagoon 	
Chuvash	Chuvashia 	Virjal, anatri
Circassians	Circassia 	adygeans, Kabardians, Cherkess, Shapsugs
Coloureds	South africa , Namibia	Cape Coloureds, Griqua, Basters, Oorlam, Goffal
Cornish	Cornwall 	  , australia
Corsicans	Corsica 	
Cree	Canada 	innu, Naskapi, atikamekw, James Bay Cree, Moose Cree, Swampy Cree, Woods Cree, Plains Cree, Metis , Oji-Cree
Croats	Croatia, Federation of Bosnia , Herzegovina	Bunjevci, Krashovani, Janjevci, Sokci, Bosnian Croats, , italy , austria, United States, Chile, argentina, Germany, australia, Canada
Cuyunon	Cuyo archipelago	
Czechs	Czech Republic	Bohemians, Moravians, Silesians, , United States , Canada
Dagaaba	Ghana, Burkina Faso	
Dagombas	Kingdom of Dagbon	
Damara	Damaral, 	
Danes	Denmark	 , Canada, Greenland, , Germany.
Dargins	Dagestan 	Kajtak, Kubachi, itsari, Chirag
Dinka	South Sudan	
Dogon	Bandiagara Escarpment	ampari Dogon
Dogra	Jammu Division 	
Dongxiangs	Hezhou 	
Dubla	Gujarat 	
Dutch	Netherlands	Gronings, arubans, Bonairians, Curacaoans, Sabans, St. Maarteners, St. Eustatians, Surinamese, Mennonites, indos, Dutch Burghers, ,  , Canada, australia, , New Zealand
Dyula	Burkina Faso, ivory Coast, Mali	
Ebira	Kogi State 	
Edo	Edo State 	ika, Emai
Efik	Cross River State 	
Egyptians	Egypt	Saeidis, Copts, Waeete
Ekoi	Nigeria, Cameroon	
Embera	Choco Department, Panama	
English	Engl, 	 americans, Canadians, australians, New Zealanders, White Bahamians, White Barbadians, Cayman islanders, White Dominiquais, White Jamaicans, White Botswanans, White Kenyans, White Saint Helenians, White Zambians, White Zimbabweans, anglo-Burmese, British Hongkongers, , White Pakistanis
Esan	Esanl, 	
Estonians	Estonia	Voros, Setos
Ewe	Togo, Ghana	anlo Ewe, Waci
Fang	Rio Muni , Gabon	
Fijians	Fiji	
Finns	Finland	Kvens, Forest Finns, Tornedalians, ingrian Finns, , Sweden, United States, , Canada.
Flemings	Flanders 	
Fon	Dahomey 	Egun
French	France, Romandy, aosta Valley	arpitans, Waldensians, Saint-Pierrais, Burgundians, Champenois, Free Countians, Gallo, Lorrainers, Normans, Picards, Poitevins , Barthelemoise, Saint-Martinois, French Guianese, Caldoche, Reunionese , Pieds-Noirs, French Canadians , Louisianians , French Haitians, French Malagasy, Franco-Mauritians, , Franco-Seychellois
Frisians	Frisia 	West Frisians, East Frisians, North Frisians
Friulians	Friuli 	
Fula	West africa 	Wodaabe, Haratin, Fula Jalon, Fulakunda, Maasina Fulfulde
Fur	Darfur 	
Ga-adangbe	Greater accra 	Ga, adangbe
Gagauz	Gagauzia , Budjak	
Galicians	Galicia 	
Ganda	Buganda 	abayudaya
Garifuna	Saint Vincent ,  Grenadines	Black Caribs
Garos	Garo Hills 	
Gayonese	indonesia 	
Gbagyi	Nigeria	
Gbaya	Central african Republic, Cameroon	Bokoto, Kara, Buli , ali, Mandja, Gbaya-Bossangoa, Bozom, Mbodomo, Gbanu, Bangandu
Gedeo	Gedeo Zone 	
Gelao	Guizhou 	
Georgians	Georgia	adjarians, Mingrelians, Svans, Tushetians , Meskhetians
Germans	Germany, Switzerland, Liechtenstein	Bavarians, Franconians, Hessians, Hunsriks, Upper Saxons, Lower Saxons, Swabians , Rhinelanders , alsatians, German Swiss, Liechtensteiners, Pomeranians, Volga Germans, Baltic Germans, Silesian Germans, Carpathian Germans, North Schleswig Germans, Eastern Belgians, Transylvanian Saxons, amish , Hutterites, Mennonites , ,   , Brazil, Mexico, argentina, Canada, Chile, Kazakhstan, australia, , New Zealand.
Gola	Liberia, Sierra Leone	
Gonds	Gondwana 	Godha, Madia Gonds, Muria, Koya
Gorontaloans	Gorontalo 	
Greeks	Greece, Cyprus	Greek Cypriots, Pontic Greeks, Cappadocian Greeks, Sarakatsani, Urums, Griko, Macedonian Greeks, , albania , Ukraine, Georgia,  ,  United Kingdom, Germany, australia, , Canada
Guan	Ghana 	Gonja, Kyode, Cherepon, Efutu, anyanga, Larteh, Chumburung, Krache, anum-Boso
Guarani	Paraguay, Misiones, Bolivia	Chiriguanos, , Mestizos, Paraguayans
Gujarati	Gujarat 	Koli, Bharwad, Khoja, Patidar, Sunni Bohra, Lohana, Vagri, Kharva, Charan, Baria, Momna, Ghanchi, Shenva, Bhambi Khalpa, Zarabes, Bhoi, Luso-indians, Gujarati americans
Gumuz	Benishangul-Gumuz Region	
Gurage	Guragia 	Kistane, Zay, inor, Mesqan, Sebat Bet 
Gurma	Gurmal, 	Ntcham, Bimoba
Gurunsi	Burkina Faso, Ghana, Togo	Lukpa, Kabye, Tem, Lamba, Delo, Bago-Kusuntu, Chala, Lyele, Nuna, Kalamse, Pana, Kassena, Winye, Deg, Puguli, Paasaal, Sisaala, Chakali, Siti, Tamprusi, Vagla
Hadiya	Hadiya 	
